Nume,Andrei Candale
Nivel de stres initial,0.0
Nivel de stres dupa test,9.0


Rezultate formulare

Primul formular

Intrebare,Raspunsul subiectului
Descriere,This is a very nice quiz that you will take to make yourself usefull once in a while
Interesat(ă),foarte putin sau deloc
Distres,foarte putin sau deloc
Emoționat(ă),foarte putin sau deloc

Descriere,this is another quiz
Ii fain afara?,mult
Iti place la munca?,mult


Al doilea formular

Intrebare,Raspunsul subiectului
Descriere,This is a very nice quiz that you will take to make yourself usefull once in a while
Interesat(ă),extrem de mult
Distres,extrem de mult
Emoționat(ă),extrem de mult

Descriere,this is another quiz
Ii fain afara?,cool
Iti place la munca?,cool


Anagrame

Timpul petrecut la ultima anagrama,1
Anagrama,Raspunsul corect,Raspunsul subiectului
