Nume,Anndrei
Nivel de stres initial,10.0
Nivel de stres dupa test,10.0


Rezultate formulare

Primul formular

Intrebare,Raspunsul subiectului
Descriere,This is a very nice quiz that you will take to make yourself usefull once in a while
Interesat(ă),putin
Distres,putin
Emoționat(ă),putin


Al doilea formular

Intrebare,Raspunsul subiectului
Descriere,This is a very nice quiz that you will take to make yourself usefull once in a while
Interesat(ă),destul de mult
Distres,moderat
Emoționat(ă),putin


Anagrame

Timpul petrecut la ultima anagrama,2
Anagrama,Raspunsul corect,Raspunsul subiectului
aano,oana,>> skipped <<
ndirea,andrei,>> skipped <<
rectoc,corect,>> skipped <<
